2022-10-22 13:07:53 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', grid_search=True, eps=None)
2022-10-22 13:07:54 INFO     Grid search. Load hyperparameter space from config.json
2022-10-22 13:07:54 INFO     [graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2022-10-22 13:35:49 INFO     [graphsage on lastfm with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 1.0474812507629394
2022-10-22 13:35:49 INFO     [graphsage on lastfm with eps=1] Saving best hp to output/best_hp.json
2022-10-22 13:35:49 INFO     [graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2022-10-22 14:02:23 INFO     [graphsage on lastfm with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 1.0333187580108643
2022-10-22 14:02:23 INFO     [graphsage on lastfm with eps=2] Saving best hp to output/best_hp.json
2022-10-22 14:02:23 INFO     [graphsage on lastfm with eps=3] Start grid search for hyperparameter tuning.
2022-10-22 14:27:56 INFO     [graphsage on lastfm with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.9973780989646912
2022-10-22 14:27:56 INFO     [graphsage on lastfm with eps=3] Saving best hp to output/best_hp.json
2022-10-22 14:27:56 INFO     [graphsage on lastfm with eps=4] Start grid search for hyperparameter tuning.
2022-10-22 14:52:49 INFO     [graphsage on lastfm with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.9318528056144715
2022-10-22 14:52:49 INFO     [graphsage on lastfm with eps=4] Saving best hp to output/best_hp.json
2022-10-22 14:52:49 INFO     [graphsage on lastfm with eps=5] Start grid search for hyperparameter tuning.
2022-10-22 15:17:30 INFO     [graphsage on lastfm with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.8607247352600098
2022-10-22 15:17:30 INFO     [graphsage on lastfm with eps=5] Saving best hp to output/best_hp.json
2022-10-22 15:17:30 INFO     [graphsage on lastfm with eps=6] Start grid search for hyperparameter tuning.
2022-10-22 15:41:53 INFO     [graphsage on lastfm with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.752461051940918
2022-10-22 15:41:53 INFO     [graphsage on lastfm with eps=6] Saving best hp to output/best_hp.json
2022-10-22 15:41:53 INFO     [graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2022-10-22 16:06:00 INFO     [graphsage on lastfm with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7186770558357238
2022-10-22 16:06:00 INFO     [graphsage on lastfm with eps=7] Saving best hp to output/best_hp.json
2022-10-22 16:06:00 INFO     [graphsage on lastfm with eps=8] Start grid search for hyperparameter tuning.
2022-10-22 16:29:50 INFO     [graphsage on lastfm with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.3} with validation loss 0.7381958961486816
2022-10-22 16:29:50 INFO     [graphsage on lastfm with eps=8] Saving best hp to output/best_hp.json
2022-10-22 16:29:50 INFO     [graphsage on lastfm with eps=None] Start grid search for hyperparameter tuning.
2022-10-22 16:32:31 INFO     [graphsage on lastfm with eps=None] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.7234232664108277
2022-10-22 16:32:31 INFO     [graphsage on lastfm with eps=None] Saving best hp to output/best_hp.json
2022-10-22 16:32:31 INFO     Grid search done!
2022-10-22 16:32:31 INFO     Run experiments using found hyperparameters in best_hp.json.
2022-10-22 16:32:31 INFO     [graphsage on lastfm with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:33:42 INFO     [graphsage on lastfm with eps=1] Test accuracy is 0.7044945785239595 (0.011739302297870478).
2022-10-22 16:33:42 INFO     [graphsage on lastfm with eps=1] Saving training results to output/results.json
2022-10-22 16:33:42 INFO     [graphsage on lastfm with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:34:49 INFO     [graphsage on lastfm with eps=2] Test accuracy is 0.7055438964672962 (0.011434423079862045).
2022-10-22 16:34:49 INFO     [graphsage on lastfm with eps=2] Saving training results to output/results.json
2022-10-22 16:34:49 INFO     [graphsage on lastfm with eps=3] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:35:53 INFO     [graphsage on lastfm with eps=3] Test accuracy is 0.723802028681357 (0.013443754126253347).
2022-10-22 16:35:53 INFO     [graphsage on lastfm with eps=3] Saving training results to output/results.json
2022-10-22 16:35:53 INFO     [graphsage on lastfm with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:36:56 INFO     [graphsage on lastfm with eps=4] Test accuracy is 0.7487932843651628 (0.02565948927035635).
2022-10-22 16:36:56 INFO     [graphsage on lastfm with eps=4] Saving training results to output/results.json
2022-10-22 16:36:56 INFO     [graphsage on lastfm with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:37:58 INFO     [graphsage on lastfm with eps=5] Test accuracy is 0.7923574676460301 (0.012923152690078616).
2022-10-22 16:37:58 INFO     [graphsage on lastfm with eps=5] Saving training results to output/results.json
2022-10-22 16:37:58 INFO     [graphsage on lastfm with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:38:59 INFO     [graphsage on lastfm with eps=6] Test accuracy is 0.8134837355718784 (0.014401387040498037).
2022-10-22 16:38:59 INFO     [graphsage on lastfm with eps=6] Saving training results to output/results.json
2022-10-22 16:38:59 INFO     [graphsage on lastfm with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2022-10-22 16:39:57 INFO     [graphsage on lastfm with eps=7] Test accuracy is 0.821231199720182 (0.0272273687362083).
2022-10-22 16:39:57 INFO     [graphsage on lastfm with eps=7] Saving training results to output/results.json
2022-10-22 16:39:57 INFO     [graphsage on lastfm with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.3}.
2022-10-22 16:40:58 INFO     [graphsage on lastfm with eps=8] Test accuracy is 0.8226477789436866 (0.012527147787350609).
2022-10-22 16:40:58 INFO     [graphsage on lastfm with eps=8] Saving training results to output/results.json
2022-10-22 16:40:58 INFO     [graphsage on lastfm with eps=None] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-22 16:41:33 INFO     [graphsage on lastfm with eps=None] Test accuracy is 0.8285064707939839 (0.014906061125216735).
2022-10-22 16:41:33 INFO     [graphsage on lastfm with eps=None] Saving training results to output/results.json
