2022-10-24 17:23:00 INFO     Start experiments with Namespace(dataset='lastfm', model='mlp', grid_search=True, eps=None)
2022-10-24 17:23:39 INFO     Using device: cuda
2022-10-24 17:23:39 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2022-10-24 17:23:39 INFO     Grid search. Load hyperparameter space from config.json
2022-10-24 17:23:39 INFO     [mlp on lastfm with eps=None] Start grid search for hyperparameter tuning.
2022-10-24 17:25:37 INFO     [mlp on lastfm with eps=None] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation F1 score 0.6933892965316772
2022-10-24 17:25:37 INFO     [mlp on lastfm with eps=None] Saving best hp to output/best_hp.json
2022-10-24 17:25:37 INFO     Grid search done!
2022-10-24 17:25:37 INFO     Run experiments using found hyperparameters in best_hp.json.
2022-10-24 17:25:37 INFO     [mlp on lastfm with eps=None] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-24 17:26:03 INFO     [mlp on lastfm with eps=None] Test F1 score is 0.6973067502180735 (0.013511325412290293).
2022-10-24 17:26:03 INFO     [mlp on lastfm with eps=None] Saving results to output/results.json
