2022-10-17 22:33:45 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', grid_search=True)
2022-10-17 22:33:50 INFO     Grid search. Load hyperparameter space from config.json
2022-10-17 22:33:50 INFO     [solitude: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2022-10-17 22:33:50 INFO     [solitude: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2022-10-17 23:05:52 INFO     [solitude: gcn on citeseer with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001, 'lam1': 0.01, 'lam2': 0.001} with validation loss 1.7403405904769897
2022-10-17 23:05:52 INFO     [solitude: gcn on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-17 23:05:52 INFO     [solitude: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2022-10-17 23:27:20 INFO     [solitude: gcn on citeseer with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.0001} with validation loss 1.7400537729263306
2022-10-17 23:27:20 INFO     [solitude: gcn on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-17 23:27:20 INFO     [solitude: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2022-10-17 23:46:20 INFO     [solitude: gcn on citeseer with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.73941969871521
2022-10-17 23:46:20 INFO     [solitude: gcn on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-17 23:46:20 INFO     [solitude: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2022-10-18 00:04:36 INFO     [solitude: gcn on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.0001} with validation loss 1.7371013164520264
2022-10-18 00:04:36 INFO     [solitude: gcn on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-18 00:04:36 INFO     [solitude: gcn on citeseer with eps=5] Start grid search for hyperparameter tuning.
2022-10-18 00:22:55 INFO     [solitude: gcn on citeseer with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.0001} with validation loss 1.679857850074768
2022-10-18 00:22:55 INFO     [solitude: gcn on citeseer with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-18 00:22:55 INFO     [solitude: gcn on citeseer with eps=6] Start grid search for hyperparameter tuning.
2022-10-18 00:41:07 INFO     [solitude: gcn on citeseer with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.001, 'lam2': 0.001} with validation loss 1.3389135599136353
2022-10-18 00:41:07 INFO     [solitude: gcn on citeseer with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-18 00:41:07 INFO     [solitude: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2022-10-18 00:59:15 INFO     [solitude: gcn on citeseer with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.001} with validation loss 1.1117361783981323
2022-10-18 00:59:15 INFO     [solitude: gcn on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2022-10-18 00:59:15 INFO     [solitude: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
2022-10-18 01:17:23 INFO     [solitude: gcn on citeseer with eps=8] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.001, 'lam2': 0.01} with validation loss 0.8938636183738708
2022-10-18 01:17:23 INFO     [solitude: gcn on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2022-10-18 01:17:23 INFO     [solitude: gcn on citeseer] Grid search done.
2022-10-18 01:17:23 INFO     Grid search done!
